ServiceTime, SendTime1, SendTime2, SendTime3, SendTime4, SendTime5, TotalSendTime ,fileSize, chunkSize
142, 0, 0, 0, 0, 0, 2, 1000000, 333338 
20, 0, 0, 0, 0, 0, 1, 100000, 33338 
0, 0, 0, 0, 0, 0, 0, 208, 74 
4, 0, 0, 0, 0, 0, 1, 22528, 7514 
4, 0, 0, 0, 0, 0, 0, 22528, 7514 
29, 0, 0, 0, 0, 0, 0, 101729, 33914 
143, 0, 0, 0, 0, 0, 1, 1188214, 396076 
18, 0, 0, 0, 0, 0, 2, 117980, 39331 
5776, 11, 12, 14, 14, 14, 67, 54341964, 18113993 
319, 0, 0, 0, 0, 0, 4, 2673730, 891248 
4, 0, 0, 0, 0, 0, 0, 44544, 14853 
